49,23
55,57
60,53
47,53
33,45
71,29
52,58
53,23
33,54
53,32
48,45
34,28
29,41
40,41
75,17
14,40
52,33
36,46
33,38
48,29
63,27
40,34
56,30
29,43
37,35
22,46
24,65
75,28
52,44
17,44
33,40
44,40
44,49
66,46
25,54
0,0
32,53
67,29
21,41
32,71
21,59
52,37
59,52
44,42
25,38
40,20
64,20
71,35
44,51
28,64
40,29
48,42
28,73
32,55
37,21
29,47
75,14
21,43
41,30
47,43
28,48
71,28
28,66
67,15
40,40
29,40
63,42
48,53
70,29
36,36
52,32
67,51
47,54
44,37
31,67
51,45
48,28
43,41
63,26
43,50
48,46
35,46
24,46
29,42
40,42
47,29
67,44
59,40
36,47
47,47
55,60
28,43
71,23
51,47
43,43
66,45
48,39
58,62
35,39
40,35
40,44
16,44
29,44
67,28
43,61
35,57
52,18
36,31
74,24
20,53
31,53
51,31
28,45
66,38
23,67
43,45
24,41
32,54
66,56
60,15
67,30
62,43
32,72
55,37
24,68
36,33
70,35
47,42
39,59
74,26
31,64
51,42
31,73
51,51
15,86
40,30
62,27
16,48
39,43
39,52
36,44
47,44
74,28
31,57
31,66
48,27
50,46
74,46
43,40
51,44
61,46
66,51
35,45
27,62
43,58
62,47
20,41
36,37
39,54
54,52
47,46
23,46
31,59
51,37
32,33
51,46
61,48
43,42
32,42
35,38
42,53
27,64
16,43
35,56
30,69
47,30
74,14
20,43
57,62
47,39
74,23
31,52
43,26
66,28
58,45
23,66
27,48
43,44
50,59
30,53
16,45
57,55
31,45
69,29
49,60
51,32
31,63
66,30
50,43
58,56
23,68
50,52
62,17
15,85
73,26
16,47
46,48
62,44
31,38
38,53
49,53
23,43
38,62
31,56
26,69
31,65
58,49
61,45
50,45
43,39
42,41
15,87
13,44
76,45
37,63
42,59
39,35
31,31
12,45
26,71
53,55
50,38
27,45
61,47
22,67
57,34
27,63
46,43
68,43
62,39
77,21
30,68
39,46
15,46
38,48
31,42
58,35
33,70
26,73
53,57
45,53
27,47
50,49
19,43
34,62
30,52
42,54
27,65
57,45
49,41
77,23
54,37
68,54
31,44
69,28
58,37
25,68
58,46
65,24
45,55
35,32
50,51
30,45
46,47
26,50
49,52
69,30
23,42
34,39
45,48
27,42
50,44
65,26
42,49
46,31
73,27
75,46
49,27
46,40
54,23
39,34
46,49
15,43
49,45
38,54
64,36
25,72
50,37
34,50
42,33
27,44
76,28
38,20
22,66
60,50
49,38
31,32
68,51
14,80
57,51
26,45
15,45
58,34
56,34
33,69
64,47
45,34
26,63
45,43
34,43
53,56
22,41
27,46
37,48
14,46
30,42
39,20
65,39
30,51
60,52
38,31
52,57
72,35
33,53
38,49
15,47
71,46
64,40
56,36
76,14
34,45
76,23
45,54
30,44
68,28
41,41
60,54
57,46
33,46
72,28
49,42
33,55
61,16
50,25
25,69
37,34
65,16
45,56
21,56
29,69
68,30
38,35
44,48
56,31
25,71
37,36
45,49
37,45
56,58
60,40
22,65
60,49
59,51
49,28
72,23
38,37
15,44
48,41
53,37
25,64
29,46
40,55
75,22
37,47
29,64
46,25
60,51
59,53
44,34
52,47
33,43
64,21
33,52
28,65
75,15
34,44
48,61
76,22
37,49
13,79
59,46
